Name,Platform,Link,Code,Message
AuthMe,,,UNHANDLED,Unhandled mod platform  for plugin AuthMe
AuthMeVelocity Paper,,,UNHANDLED,Unhandled mod platform  for plugin AuthMeVelocity Paper
FastLoginBukkit,,,UNHANDLED,Unhandled mod platform  for plugin FastLoginBukkit
FluffyLobby,,,UNHANDLED,Unhandled mod platform  for plugin FluffyLobby
Hibernate,,,UNHANDLED,Unhandled mod platform  for plugin Hibernate
MapModCompanion,,,UNHANDLED,Unhandled mod platform  for plugin MapModCompanion
ProtocolLib,,,UNHANDLED,Unhandled mod platform  for plugin ProtocolLib
